created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-02-16T20:44:56-06:00,191,11600.00000,4898650.00000,1.25306,-19.25000,,,,
2023-02-16T20:47:04-06:00,192,11666.66602,4901650.00000,1.24667,-19.50000,,,,
2023-02-16T20:49:12-06:00,193,11350.00000,4899100.00000,1.28078,-19.50000,,,,
2023-02-16T20:51:20-06:00,194,11766.66602,4901216.50000,1.23596,-19.50000,,,,
2023-02-16T20:53:27-06:00,195,12050.00000,4898500.00000,1.20623,-19.50000,,,,
2023-02-16T20:55:35-06:00,196,11216.66602,4908916.50000,1.29860,-19.50000,,,,
2023-02-16T20:57:43-06:00,197,11916.66602,4910433.00000,1.22270,-19.50000,,,,
2023-02-16T20:59:51-06:00,198,11350.00000,4909733.00000,1.28356,-19.50000,,,,
2023-02-16T21:01:58-06:00,199,11766.66602,4909133.00000,1.23796,-19.50000,,,,
2023-02-16T21:04:06-06:00,200,11416.66602,4907450.00000,1.27547,-19.50000,,,,
2023-02-16T21:06:14-06:00,201,11833.33301,4911083.00000,1.23147,-19.50000,,,,
2023-02-16T21:08:22-06:00,202,11416.66602,4872150.00000,1.26630,-19.50000,,,,
2023-02-16T21:10:29-06:00,203,11266.66602,4850483.00000,1.27745,-19.50000,,,,
2023-02-16T21:12:37-06:00,204,11733.33301,4910400.00000,1.24180,-19.50000,,,,
2023-02-16T21:14:45-06:00,205,11416.66602,4911950.00000,1.27664,-19.50000,,,,
2023-02-16T21:16:52-06:00,206,11583.33301,4907933.00000,1.25725,-19.50000,,,,
2023-02-16T21:19:00-06:00,207,11283.33301,4914766.50000,1.29247,-19.50000,,,,
2023-02-16T21:21:08-06:00,208,11933.33301,4913300.00000,1.22171,-19.50000,,,,
2023-02-16T21:23:16-06:00,209,11533.33301,4913983.00000,1.26425,-19.50000,,,,
2023-02-16T21:25:23-06:00,210,11266.66602,4920383.00000,1.29586,-19.25000,,,,
2023-02-16T21:27:31-06:00,211,11316.66602,4912733.00000,1.28813,-19.50000,,,,
2023-02-16T21:29:39-06:00,212,11100.00000,4929483.00000,1.31775,-19.25000,,,,
2023-02-16T21:31:47-06:00,213,12066.66602,4899583.00000,1.20483,-19.25000,,,,
2023-02-16T21:33:54-06:00,214,11250.00000,4892500.00000,1.29043,-19.50000,,,,
2023-02-16T21:36:02-06:00,215,11433.33301,4841216.50000,1.25643,-19.50000,,,,
