created_at,entry_id,period_low,period_high,ratio,temperature
2022-02-21T20:08:13-06:00,1256,1980,695224,2.39143,0
2022-02-21T20:08:29-06:00,1257,1988,728880,2.49712,0
2022-02-21T20:08:45-06:00,1258,2000,732620,2.49487,0
2022-02-21T20:09:01-06:00,1259,2100,696860,2.26009,0
2022-02-21T20:09:17-06:00,1260,2006,692758,2.35207,0
2022-02-21T20:09:33-06:00,1261,2096,740194,2.40521,0
2022-02-21T20:09:50-06:00,1262,1978,737814,2.54050,0
2022-02-21T20:10:06-06:00,1263,2124,699176,2.24198,0
2022-02-21T20:10:22-06:00,1264,2008,693974,2.35385,0
2022-02-21T20:10:38-06:00,1265,1976,693540,2.39047,0
2022-02-21T20:10:54-06:00,1266,2104,743790,2.40771,0
2022-02-21T20:11:10-06:00,1267,2044,723516,2.41083,0
2022-02-21T20:11:27-06:00,1268,2044,728900,2.42877,0
2022-02-21T20:11:43-06:00,1269,2050,752672,2.50064,0
2022-02-21T20:11:59-06:00,1270,2042,726076,2.42173,0
2022-02-21T20:12:15-06:00,1271,2046,719634,2.39555,0
2022-02-21T20:12:31-06:00,1272,2038,743190,2.48367,0
2022-02-21T20:12:47-06:00,1273,2048,693142,2.30511,0
2022-02-21T20:13:03-06:00,1274,2054,744422,2.46841,0
2022-02-21T20:13:20-06:00,1275,2048,745422,2.47897,0
2022-02-21T20:13:36-06:00,1276,2048,726266,2.41526,0
2022-02-21T20:13:52-06:00,1277,2058,726306,2.40366,0
2022-02-21T20:14:08-06:00,1278,2040,737788,2.46320,0
2022-02-21T20:14:24-06:00,1279,2048,747388,2.48551,0
2022-02-21T20:14:40-06:00,1280,2054,709940,2.35407,0
2022-02-21T20:14:57-06:00,1281,2052,715436,2.37461,0
2022-02-21T20:15:13-06:00,1282,2050,701008,2.32899,0
2022-02-21T20:15:29-06:00,1283,2048,742478,2.46918,0
2022-02-21T20:15:45-06:00,1284,2048,710070,2.36140,0
2022-02-21T20:16:01-06:00,1285,2050,722316,2.39978,0
2022-02-21T20:16:17-06:00,1286,2048,753044,2.50432,0
2022-02-21T20:16:33-06:00,1287,1998,709104,2.41720,0
2022-02-21T20:16:50-06:00,1288,2046,715888,2.38308,0
2022-02-21T20:17:06-06:00,1289,2054,697460,2.31269,0
2022-02-21T20:17:22-06:00,1290,2038,750522,2.50818,0
2022-02-21T20:17:38-06:00,1291,2046,699736,2.32931,0
2022-02-21T20:17:54-06:00,1292,2046,751896,2.50294,0
2022-02-21T20:18:11-06:00,1293,2048,716424,2.38253,0
2022-02-21T20:18:27-06:00,1294,2048,693044,2.30478,0
2022-02-21T20:18:43-06:00,1295,2046,741794,2.46932,0
2022-02-21T20:18:59-06:00,1296,2054,750768,2.48945,0
2022-02-21T20:19:15-06:00,1297,2048,738790,2.45691,0
2022-02-21T20:19:31-06:00,1298,2046,700016,2.33024,0
2022-02-21T20:19:48-06:00,1299,2054,737916,2.44684,0
2022-02-21T20:20:04-06:00,1300,2048,726754,2.41689,0
2022-02-21T20:20:20-06:00,1301,2058,752722,2.49108,0
2022-02-21T20:20:36-06:00,1302,1976,738488,2.54540,0
2022-02-21T20:20:52-06:00,1303,2038,698082,2.33293,0
2022-02-21T20:21:09-06:00,1304,2116,745660,2.40007,0
2022-02-21T20:21:25-06:00,1305,1700,750262,3.00582,0
2022-02-21T20:21:41-06:00,1306,2008,735484,2.49464,0
2022-02-21T20:21:57-06:00,1307,2088,694520,2.26544,0
2022-02-21T20:22:13-06:00,1308,2092,693446,2.25762,0
2022-02-21T20:22:29-06:00,1309,2008,693462,2.35211,0
2022-02-21T20:22:45-06:00,1310,1976,714970,2.46434,0
2022-02-21T20:23:02-06:00,1311,2006,751808,2.55255,0
2022-02-21T20:23:18-06:00,1312,2092,738724,2.40502,0
2022-02-21T20:23:34-06:00,1313,1996,745046,2.54227,0
2022-02-21T20:23:50-06:00,1314,2084,741562,2.42353,0
2022-02-21T20:24:06-06:00,1315,2092,748972,2.43839,0
2022-02-21T20:24:22-06:00,1316,2006,729182,2.47573,0
2022-02-21T20:24:39-06:00,1317,2108,714536,2.30862,0
2022-02-21T20:24:55-06:00,1318,2000,694506,2.36508,0
2022-02-21T20:25:11-06:00,1319,1984,710460,2.43892,0
2022-02-21T20:25:27-06:00,1320,2002,716112,2.43622,0
2022-02-21T20:25:43-06:00,1321,2042,701638,2.34022,0
2022-02-21T20:25:59-06:00,1322,2108,732000,2.36504,0
2022-02-21T20:26:16-06:00,1323,1992,748858,2.56041,0
2022-02-21T20:26:32-06:00,1324,2096,707352,2.29849,0
2022-02-21T20:26:48-06:00,1325,2094,742306,2.41438,0
2022-02-21T20:27:04-06:00,1326,2012,753098,2.54931,0
2022-02-21T20:27:20-06:00,1327,2026,750070,2.52151,0
2022-02-21T20:27:36-06:00,1328,2006,751398,2.55116,0
2022-02-21T20:27:52-06:00,1329,2002,694774,2.36362,0
